map,id,register_no,name,date_iso,date_display,date_confidence,lat,lng,coord_precision,type,layer,summary,result,native_groups,sources,notes
bodega-ross-corridor,goycoechea-s-overland-expedition-to-bodega,,Goycoechea's Overland Expedition to Bodega,1793-08-05,"August 5–14, 1793",exact,38.33,-123.05,place,event,spanish,"10 soldiers + sergeant march overland from SF via Bolinas and Tomales Bay to Bodega. Coast Miwok direct them to harder western route — later admitted ""deceived."" Territory 45 miles north of SF is ""tierra incognita.""","""Tierra incognita"" — Spain's own governor admits unknown territory",,Wagner 1931:342–345; C-A 14 p. 113.,
bodega-ross-corridor,eliza-s-activo-at-bodega-spain-s-last-pacific-ex,,Eliza's Activo at Bodega — Spain's Last Pacific Exploration,1793-08-09,"August 9, 1793",exact,38.332,-123.048,place,event,spanish,Eliza arrives in Activo after near-starvation NW Coast voyage. Spain's last Pacific exploration. The exhausted vessel barely makes it to Bodega — the empire's reach is collapsing.,Last Spanish Pacific exploration — barely survived,,Wagner 1931; C-A 14.,
bodega-ross-corridor,golden-gate-crossing-borrowed-launches,,Golden Gate Crossing — Borrowed Launches,1793-08-01,"August 1–2, 1793",exact,37.813,-122.478,place,event,spanish,32 horses ferried across the Golden Gate using launches borrowed from visiting San Blas frigates Princesa and Aranzazu. Spain cannot cross its own bay without foreign ships.,Spain depends on visiting vessels to cross its own frontier,,C-A 14 p. 113. Arrillaga.,
bodega-ross-corridor,viceroy-orders-bodega-whether-or-not-english-are,,"Viceroy Orders Bodega — ""Whether or Not English Are There""",1793,1793,year,37.804,-122.441,place,event,spanish,"Revilla Gigedo orders Bodega occupied. Full fortification plan for Bodega + SF + Monterey + SD. Never executed. Supplies eventually repurposed (June 10, 1794).",Order given — never carried out,,"C-A 22, ii.144–148; bodega-failure-1793.",
bodega-ross-corridor,english-at-bodega-con-los-canones-en-tierra,,"English at Bodega ""con los cañones en tierra""",1793,"March 15, 1793 (reported)",circa,38.328,-123.06,place,event,spanish,"Arrillaga reports an English vessel anchored at Bodega with ""cannons on land."" Identity uncertain — Colnett traces? New vessel? Rumor? Same year as Spanish Bodega failure.",Foreign military presence in territory Spain cannot reach,,C-A 14 pp. 93–94.,
bodega-ross-corridor,zuniga-shows-bodega-plans-to-british-no-concealm,,Zúñiga Shows Bodega Plans to British — No Concealment,1793-11,November 1793,month,32.72,-117.17,place,event,spanish,San Diego commandant Zúñiga freely shows Bodega harbor plans to British officers. No concealment at all — contradicts the tight security at SF. The policy was inconsistent.,Concealment policy fails at San Diego,,Menzies 1924:335.,
bodega-ross-corridor,rac-fur-collecting-begins-at-bodega,,RAC Fur-Collecting Begins at Bodega,1807,1807–1810,range,38.338,-123.042,place,event,russian,130 Aleut hunters aboard Kodiak. First Russian representative: Tarakanov. 40+ Russians + 150 Indians by 1809 (Argüello report). Moraga protests — ignored.,Permanent Russian presence established — Spain protests but cannot act,,Milliken 2009:22–25; C-A 12.,
bodega-ross-corridor,130-bidarkas-in-san-francisco-bay,,130 Bidarkas in San Francisco Bay,1811,1811,year,37.78,-122.44,place,event,russian,130 Aleut bidarkas (kayaks) hunting sea otter inside San Francisco Bay. The Russians are inside Spain's premier port and Spain cannot stop them.,Russian hunting inside the Bay — sovereignty violated,,C-A 12 (Prov. St. Pap. XIX).,
bodega-ross-corridor,farallon-islands-russian-sealing-station,,Farallon Islands — Russian Sealing Station,1812,~1812–1840s,range,37.698,-123.002,place,event,russian,Russian sealing station on the Farallones — 18 miles off the coast of San Francisco. Aleut hunters camped seasonally. Spain/Mexico never contested it.,Russian territory visible from SF — unchallenged,,Bancroft II; Fort Ross sources.,
bodega-ross-corridor,hagemeister-treaty-with-kashaya-pomo,,Hagemeister Treaty with Kashaya Pomo,1817,1817,year,38.514,-123.244,place,event,russian,"Russia negotiates land cession with Kashaya Pomo chiefs — not Spanish authorities. ""Allies of Russia"" medals distributed 1819. Russians treat indigenous peoples as sovereign landowners because, north of the Bay, they are.",Russia treats Pomo as sovereign — Spain does not exist here,,hagemeister-pomo-treaty-1817; AVPRI documents.,
